Time, PDC Flux
1.205385996905170032e+02,6.633655948850791901e+02
1.205590342520226841e+02,-8.593020718534244224e+02
1.205794687135276035e+02,-1.336753844627441140e+03
1.205999033750558738e+02,-3.591459665556903929e+02
1.206203379366488662e+02,-9.362128195179102477e+02
1.206407723982702009e+02,-9.901887784730643034e+02
1.206612069598850212e+02,-1.973394639046746306e+02
1.206816416215951904e+02,-1.347071125852351543e+03
1.207020760833038366e+02,-9.346650209894578438e+02
1.207225106450059684e+02,-3.999336426449299324e+02
1.207429453068034491e+02,-1.035408240858436329e+03
1.207633797685994068e+02,-9.588569717761129141e+01
1.207838143304179539e+02,3.069649494357872754e+01
1.208042488923019846e+02,-5.913041667582001537e+01
1.208246834541860153e+02,9.718054429627954960e+02
1.208451180161209777e+02,8.475821988604729995e+02
1.208655525780632161e+02,8.944654760163102765e+02
1.208859872400644235e+02,1.462236526515451260e+03
1.209064217020859360e+02,1.601129719104792457e+03
1.209268562641445897e+02,1.710488810036971699e+03
1.209472909262258327e+02,1.634048174269730225e+03
1.209677253883419326e+02,1.538432805676799035e+03
1.209881599504878977e+02,1.170877085384592647e+03
1.210085944126331015e+02,1.075740384350006934e+03
1.210290290748598636e+02,1.198022708575561410e+03
1.210494636370931403e+02,2.803334270588529762e+02
1.210698981993555208e+02,2.228756668006244581e+02
1.210903327616688330e+02,-5.867869719871669076e+01
1.211107673239603173e+02,-8.299390399405965582e+02
1.211312018863391131e+02,-4.393584864228905644e+02
1.211516363487098715e+02,-7.299214135500078555e+02
1.211720710111185326e+02,-1.311627815613494022e+03
1.211925055735846399e+02,-1.114790198320581112e+03
1.212129400360427098e+02,-1.755892936630581971e+03
1.212333746985386824e+02,-1.846857899960799841e+03
1.212538092610629974e+02,-1.194731968893262092e+03
1.212742437236083788e+02,-1.960218268386292038e+03
1.212946782862200052e+02,-1.721176169787591789e+03
1.213151129488323932e+02,-1.250699423140264116e+03
1.213355475114658475e+02,-1.752616157039534301e+03
1.213559819741640240e+02,-1.015035746442736126e+03
1.213764166368637234e+02,-7.858175610623729881e+02
1.213968511995844892e+02,-1.064399106186756399e+03
1.214172856623699772e+02,-1.838428817732492462e+02
1.214377202251271228e+02,-2.783363843674887903e+02
1.214581548879359616e+02,3.829226098992512561e+01
1.214785893508087611e+02,1.035918049220053945e+03
1.214990239136823220e+02,4.737753604009922128e+02
1.215194584765486070e+02,1.060989192839537282e+03
1.215398931394811370e+02,1.179887673174089286e+03
1.215603277024711133e+02,7.224395481161191128e+02
1.215807621653948445e+02,1.403222942705557216e+03
1.216011968284437899e+02,9.593316117731737904e+02
1.216216313914337661e+02,8.382811754883150570e+02
1.216420658545321203e+02,1.235993508895480772e+03
1.216625004175803042e+02,2.317342401408532169e+02
1.216829350807456649e+02,2.575189941851422191e+02
1.217033695438440191e+02,-8.824108592816628516e+00
1.217238041070086183e+02,-6.491075635726447217e+02
1.217442387702321867e+02,4.118425420354469679e+01
1.217646732334469561e+02,-3.727455347577924840e+02
1.217851077967279707e+02,-6.475844259629957378e+02
1.218055423599507776e+02,-5.141136709114653058e+02
1.218259769232827239e+02,-9.665051446006982587e+02
1.218464114866219461e+02,-5.830713470322079957e+02
1.218668460499611683e+02,-2.614997782061691396e+02
1.218872806132931146e+02,-1.823841881226107944e+02
1.219077151767487521e+02,1.788222982202714775e+02
1.219281497401461820e+02,7.615093081991653889e+01
1.219485842035937821e+02,5.209142083199403714e+02
1.219690188671083888e+02,8.299871347942098510e+02
1.219894534305640263e+02,7.397447061673447024e+02
1.220098878941353178e+02,1.238655672483582748e+03
1.220303225577008561e+02,9.837356626892578788e+02
1.220507571212729090e+02,1.179062797836551908e+03
1.220711916848376859e+02,1.274058954241307219e+03
1.220916261484671850e+02,7.918647556442883797e+02
1.221120608121564146e+02,1.300777080825762823e+03
1.221324953758376068e+02,6.851240510045317933e+02
1.221529298395253136e+02,8.353066622265032493e+01
1.221733645032727509e+02,6.869813051354431082e+02
1.221937990670121508e+02,-1.267896609125891700e+02
